titles,content,label
Nach “Klima-Rede” lässt sich Van der Bellen mit acht (!) Luxusautos in ein Nobellokal kutschieren,"Bundespräsident    27. Juli 2021 / 16:29Nach “Klima-Rede” lässt sich Van der Bellen mit acht (!) Luxusautos in ein Nobellokal kutschierenWie scheinheilig ist das denn? Nach seiner “Klima-Rede” zur Eröffnung der Salzburger Festspiele ließ sich Bundespräsident Alexander Van der Bellen mit acht (!) Luxusautos in ein Nobellokal kutschieren. Siehe Facebook-Eintrag der FPÖ:Zuerst peinlich, dann scheinheiligDie Spitzen des Staates tun zurzeit alles, um nach der Peinlichkeitswertung, die ihnen im „Ibiza“-Untersuchungsausschuss für ihr Verhalten (nicht offiziell) verliehen wurde, auch noch die Scheinheiligkeitswertung zu gewinnen.Zuerst der Auftritt von Bundespräsidenten Alexander Van der Bellen und ÖVP-Bundeskanzler Sebastian Kurz in der ersten Reihe bei der Eröffnung der Bregenzer Festspiele, wo beide ohne Maske und ohne Abstand der Zeremonie beiwohnten, während die Normalbürger immer weiter mit Schikanen als Maßnahmen gegen das Coronavirus belastet werden. Unzensuriert berichtete ausführlich darüber.“Maßnahmen gegen Klimakrise nicht weiter hinausschieben”Einige Tage später dann das: Bundespräsident Van der Bellen stellt seine Eröffnungsrede bei den Salzburger Festspielen, wo nach einem positiven Covid-19-Fall eines Geimpften bei der Aufführung des „Jedermann“ nun Masken getragen werden müssen, in den Dienst des Klimaschutzes (und seiner Ex-Partei, den Grünen, unzensuriert berichtete). Damit stimmte er in den Tenor der aktuell grassierenden Polit-Debatte rund um mehr Verbote zugunsten der Umwelt ein. Konkret meinte Van der Bellen:Ich finde es falsch, Maßnahmen gegen die Klimakrise weiter hinauszuschieben und so zu tun, als würde diese von selbst vorbeigehen.Grüne stoppen wichtige InfrastrukturprojekteVan der Bellen spielte mit seiner Aussage auf den schwelenden Koalitionszwist rund um umstrittene (und offenbar nicht abgestimmte) Klimaschutzmaßnahmen zulasten der heimischen Bevölkerung an, die derzeit vor allem von Klimaschutzministerin Leonore Gewessler (Grüne) radikal forciert werden, etwa durch einen geplanten Stopp von wichtigen Infrastrukturprojekten in Österreich.Mit Luxusautos ins NobellokalWer aber nun glaubte, dass Van der Bellen selbst ein Vorbild seiner eigenen Rede sein möchte, der hat sich kolossal geirrt. Denn wie zu beobachten war, will Van der Bellen auf die „Klimasünder“ nicht verzichten. Er fuhr nach seinem Appel an die Österreicher, mehr für den Klimaschutz zu tun, tatsächlich in einem Konvoi von acht Luxusautos in ein Nobellokal.Sperrstunde “übersehen”Wir erinnern uns: Schon bei der Einhaltung der Sperrstunde war es ähnlich. Während die Staatsspitzen die Bürger während der Corona-Krise mit Strafen drangsalierten, „übertraten“ Van der Bellen und seine Frau die Sperrstunde um 23 Uhr gleich um mehrere Stunden. Siehe unzensuriert-Bericht.Wenn Ihnen der Artikel gefallen hat, unterstützen Sie bitte das Projekt unzensuriert mit einer Spende. Per paypal (Kreditkarte) oder mit einer Überweisung auf AT58 1420 0200 1086 3865 (BIC: BAWAATWW), ltd. Unzensuriert",False
Kurz-Befragung: Wie sich die ÖVP die Strafprozessordnung zurechtbiegt,"Justiz    27. Juli 2021 / 13:11Kurz-Befragung: Wie sich die ÖVP die Strafprozessordnung zurechtbiegtEinst wurde der Paragraph 101 der österreichischen Strafprozessordnung geschaffen, um zu verhindern, dass weisungsgebundene Staatsanwälte bei politischen Prozessen in ihrer Arbeit nur eingeschränkt arbeiten können. Die Volkspartei dreht jetzt den Spieß um und räumt sich damit eine kritische Ermittlungsbehörde aus dem Weg.Nicht jeder ist vor dem Gesetz gleichStatt sich wie jeder andere Bürger der ermittelnden Behörde zu stellen und dieser die Möglichkeit zur Befragung zu den strafrechtlichen Vorwürfen zu geben, kann sich der beschuldigte ÖVP-Chef dank seinem findigen Rechtsberater einem Verhör entziehen. Experten wie der Leiter der Grazer Staatsanwaltschaft Dr. Thomas Mühlbacher sprachen schon in der Vergangenheit von einer dadurch vorhandenen “Zwei-Klassen-Justiz“. Uni-Wien-Professor Franz Höpfel und der 1. Staatsanwalt der burgenländischen Landeshauptstadt Eisenstadt sehen in der aktuellen Ausgestaltung des “Kanzler-Paragraphen” einen “Beigeschmack des Misstrauens gegenüber der Staatsanwaltschaft“.Extra Reglung auch bei der Anwaltswahl Vollkommen unter geht bei der gesamten Debatte der Fakt, dass noch vor nicht allzu langer Zeit der von der FPÖ nominierte Medienrechtler Michael Rami seine Tätigkeiten für die Freiheitlichen aufgeben musste, um als Verfassungsrichter keinerlei Anschein von Befangenheit zuzulassen. Umgekehrt gelten derartige Regeln nicht für die Volkspartei: Kurz-Anwalt Werner Suppan ist ebenfalls (Ersatz-)Mitglied des Höchstgerichts.Wenn Ihnen der Artikel gefallen hat, unterstützen Sie bitte das Projekt unzensuriert mit einer Spende. Per paypal (Kreditkarte) oder mit einer Überweisung auf AT58 1420 0200 1086 3865 (BIC: BAWAATWW), ltd. Unzensuriert",False
PCR-Test im NATO-Labor falsch: Alle 17 Soldaten im Kosovo negativ getestet!,"Bundesheer    27. Juli 2021 / 11:10PCR-Test im NATO-Labor falsch: Alle 17 Soldaten im Kosovo negativ getestet!Schon wieder PCR-Tests mit einem falschen Ergebnis. Gestern, Montag, haben wir über 17 österreichische Soldaten der KFOR-Truppe im Kosovo berichtet, die allesamt positiv auf das Coronavirus getestet wurden. 13 davon waren mit Impfungen vollimmunisiert. Heute, Dienstag, stellt sich heraus, es war ein Irrtum.NATO-eigenes Labor bedauert IrrtumDas Bundesministerium für Landesverteidigung bestätigte auf Nachfrage von unzensuriert die falschen Ergebnisse, die zur Folge hatten, dass sich 17 Soldaten in Isolation begeben mussten. Die Pressestelle des Bundesheers sagte:Das für die Mission KFOR tätige NATO-eigene Labor hat gestern 17 COVID19-positive österreichische Auslandseinsatzsoldaten bestätigt.Eine vom österreichischen, Schweizer und deutschen Kontingent parallel dazu erstellte Testung in einem zertifizierten zivilen Labor ergab, dass alle Gestesteten negativ sind.Das NATO-eigene Labor von KFOR bedauert den Irrtum. Somit sind wieder alle österreichischen Auslandsmissionen COVID19-frei und alle Soldatinnen und Soldaten versehen ihren Dienst.Wenn Ihnen der Artikel gefallen hat, unterstützen Sie bitte das Projekt unzensuriert mit einer Spende. Per paypal (Kreditkarte) oder mit einer Überweisung auf AT58 1420 0200 1086 3865 (BIC: BAWAATWW), ltd. Unzensuriert",False
Van der Bellen gibt Grünen in Koalitionsstreit Schützenhilfe und befürwortet Maßnahmen gegen “Klimakrise”,"Bundesregierung    26. Juli 2021 / 23:17Van der Bellen gibt Grünen in Koalitionsstreit Schützenhilfe und befürwortet Maßnahmen gegen “Klimakrise”Einmal mehr positioniert sich der eigentlich unabhängige Bundespräsident Alexander Van der Bellen zu einem innenpolitischen Thema. Und es ist nicht verwunderlich, dass er sich dabei gerade für ein Thema der Grünen, seiner (Ex-)Partei, stark macht. Im derzeit eskalierenden Koalitionsstreit zwischen ÖVP und Grünen ergreift er nämlich nun für letztere indirekt Partei.Van der Bellen mit Schützenhilfe für GrüneDenn die mediale Bühne anlässlich seines Besuches bei den Salzburger Festspielen nutzte das Staatsoberhaupt, um vor der “Klimakrise” zu warnen und gleichzeitig die “alte Normalität” zu kritisieren. Damit stimmte er in den Tenor der aktuell grassierenden Polit-Debatte rund um mehr Verbote zugunsten der Umwelt ein. Konkret meinte Van der Bellen:Ich finde es falsch, Maßnahmen gegen die Klimakrise weiter hinauszuschieben und so zu tun, als würde diese von selbst vorbeigehen.Damit spielte der Bundespräsident auf den schwellen Koalitionszwist rund um umstrittene (und offenbar nicht abgestimmte) Klimaschutzmaßnahmen zulasten der heimischen Bevölkerung an, die derzeit vor allem von Klimaschutzministerin Leonore Gewessler (Grüne) radikal forciert werden, etwa durch einen geplanten Stopp von wichtigen Infrastrukturprojekten in Österreich.Präsident als “Propagandist einer Klima-Diktatur”Scharfe Kritik an dieser indirekten Schützenhilfe für die Grünen äußerte FPÖ-Bundesparteiobmann und Klubobmann Herbert Kickl. Van der Bellen mache sich zum “Propagandisten eine beinharten Klima-Diktatur”. Zudem sieht Kickl in solchen Aussagen die Vorstufe zur nächsten, auf willkürliche Zahlen gestützten Technokratenherrschaft, diesmal eben im Klima- statt im Coronamantel.Überhaupt, so der FPÖ-Chef, trete Van der Bellen mit solchen Aussagen auch das Erbe jener Generationen mit Füßen, die Österreich aus den Trümmern des Zweiten Weltkriegs heraus aufgebaut und zu einem florierenden Sozialstaat gemacht haben. “Genau das ist nämlich die alte Normalität, von der unser Staatsoberhaupt nichts wissen will”, betonte Kickl.Wenn Ihnen der Artikel gefallen hat, unterstützen Sie bitte das Projekt unzensuriert mit einer Spende. Per paypal (Kreditkarte) oder mit einer Überweisung auf AT58 1420 0200 1086 3865 (BIC: BAWAATWW), ltd. Unzensuriert",False
"Richter statt Staatsanwalt: Kurz darf sich aussuchen, von wem er wegen “Falschaussage” einvernommen wird","Justizministerium    26. Juli 2021 / 20:09Richter statt Staatsanwalt: Kurz darf sich aussuchen, von wem er wegen “Falschaussage” einvernommen wirdÖVP-Bundeskanzler Sebastian Kurz darf sich aussuchen, von wem er wegen des Verdachts der falschen Beweisaussage vor dem „Ibiza“-Untersuchungsausschuss einvernommen wird.Weisung nach Wunsch von Kurz’ RechtsvertreterDas teilte das Justizministerium heute, Montag, in einer Aussendung mit. Kurz soll nun von einem Richter und nicht, wie ein Normalbürger, von der ermittelnden Staatsanwaltschaft einvernommen werden. Die Presse schreibt dazu, dass das Justizministerium eine entsprechende Weisung erteilt habe, die dem Wunsch von Kurz’ Rechtsvertreter entspreche.Fahler BeigeschmackIm Vorfeld hatte die ÖVP schwere Attacken gegen die Justiz, insbesonders gegen die Wirtschafts- und Korruptionsstaatsanwaltschaft (WKStA) geritten. Allerdings ohne konkrete Vorwürfe zu benennen. Das von der grünen Ministerin Alma Zadic geführte Justizministerium sprang also jetzt helfend zur Seite, wohl um den Koalitionsfrieden nicht zu gefährden. Einen fahlen Beigeschmack hat die Causa aber allemal.Justizministerium ringt nach BegründungIn der Aussendung des Justizministeriums um 17:15 Uhr bemüht man sich, die Entscheidung ausreichend und unter Hinweis auf die Bestimmung § 101 Abs 2 Strafprozessordnung (StPO) zu begründen. Da heißt es:Für die Anwendbarkeit müssen folgende Voraussetzungen gemeinsam vorliegen:1. eine besondere Bedeutung des Beschuldigten und2. eine besondere Bedeutung der Straftat und daher3. bestehendes öffentliches Interesse an der gerichtlichen BeweisaufnahmeErmittlungen gegen amtierenden KanzlerZum ersten Mal werde gegen einen amtierenden Bundeskanzler wegen des Verdachts einer Straftat ermittelt, so das Justizministerium weiter, die dieser während der laufenden Amtszeit und in der Funktion als Bundeskanzler vor einem verfassungsmäßig garantierten parlamentarischen Kontrollgremium (Ibiza-Untersuchungsausschuss) mutmaßlich begangen haben soll. Daher seien sowohl der Beschuldigte als auch die Strafsache von besonderer Bedeutung.Damit fabrizierte das Justizministerium eine Falschmeldung. Denn Kurz ist nicht der erste amtierende Bundeskanzler, gegen den ermittelt wird. 2012 gab es gegen SPÖ-Kanzler Werner Faymann Ermittlungen bezüglich der “Inseraten-Affäre”. Wie der ORF berichtete, wurde Faymann damals von der Staatsanwaltschaft einvernommen.“Besondere Bedeutung der Straftat”Aufgrund dieser besonderen Konstellation habe die zuständige Sektion des Justizministeriums das Vorliegen aller drei Voraussetzungen bejaht. Die Entscheidung wurde ausschließlich aus rechtlichen Erwägungen aufgrund der besonderen Bedeutung der Straftat und des Beschuldigten getroffen, heißt es in der Aussendung des Justizministeriums. Es gilt die Unschuldsvermutung.Wenn Ihnen der Artikel gefallen hat, unterstützen Sie bitte das Projekt unzensuriert mit einer Spende. Per paypal (Kreditkarte) oder mit einer Überweisung auf AT58 1420 0200 1086 3865 (BIC: BAWAATWW), ltd. Unzensuriert",False
13 (!) mit Impfungen vollimmunisierte Soldaten im Ausland positiv auf das Coronavirus getestet,"Bundesheer    26. Juli 2021 / 17:2513 (!) mit Impfungen vollimmunisierte Soldaten im Ausland positiv auf das Coronavirus getestetVon Sonntag auf Montag wurden 17 Soldaten des österreichischen KFOR-Kontigents postitiv auf Covid-19 getestet. Davon waren 13 (!) mit Impfungen vollimmunisiert, einer mit einer Impfung teilimmunisiert, drei nicht immunisiert.Alle Betroffenen symptomfreiDas bestätigte die Pressestelle des Bundesministeriums für Landesverteidigung auf Nachfrage von unzensuriert. Damit ist einmal mehr bewiesen, dass Corona-Impfungen nicht den gewünschten Schutz vor Ansteckung geben.Das Bundesheer gab auch Auskunft über den Gesundheitszustand der Soldaten. Wörtlich heißt es vonseiten des Heeres:Allen Betroffenen geht es gut, sie sind symptomfrei. Sie befinden sich in einem abgetrennten Gebäude in Quarantäne. Das Kontakttracing im österreichischen Kontingent ergab, dass sich 17 Soldaten als Kontaktpersonen 1 in Isolation begeben müssen.Seit 14. Juli nur noch Geimpfte im AuslandseinsatzLaut Ministerium erfüllen Soldaten, die – selbstverständlich freiwillig – in einen Auslandseinsatz gehen, seit 14. Juli 2021 nur dann die medizinische Voraussetzung, wenn sie gegen Covid-19 immunisiert sind.Militärmedizinischer SchrittDer Grund für diesen Impfzwang: Der Einsatz in Krisengebieten und die damit einhergehende eingeschränkte militärmedizinische Versorgung, was Covid-Erkrankungen angeht, mache diesen Schritt zum Schutz aller Soldatinnen und Soldaten erforderlich. Der Einsatz in herausforderndem, auch militärmedizinisch schwierigem Umfeld stellt besondere Anforderungen an die gesundheitlichen Voraussetzungen von Auslandseinsatzsoldaten. Alle für einen Auslandseinsatz notwendigen Impfungen würden durch das Bundesheer kostenlos angeboten, heißt es vonseiten der Landesverteidigung.Auslandseignung vor 14. Juli auch ohne ImpfungAuslandssoldaten, die vor dem 14. Juli 2021 in den Einsatz gingen, würden die medizinische Voraussetzung für die Auslandseignung auch ohne Covid-19-Immunisierung erfüllen, betont man beim Heer.Impfstoff-Lieferung in den KosovoDerzeit laufen Planungen, weiteren Impfstoff zum österreichischen Kontingent in den Kosovo zu transportieren, um allen Kontingentsangehörigen, die noch nicht vollimmunisiert sind, Impfstoff zur Verfügung zu stellen.835 Soldaten in 15 AuslandsmissionenDas Bundesheer beteiligt sich derzeit mit insgesamt 835 Soldatinnen und Soldaten an 15 Auslandsmissionen. Das Covid-19-Problem sei bisher nur im Kosovo aufgetaucht.Update am 27.7.2021, 11 Uhr: NATO-Labor lieferte falsch positiv ErgebnisseInzwischen steht fest: PCR-Test im NATO-Labor falsch: Alle 17 Soldaten im Kosovo negativ getestet!Wenn Ihnen der Artikel gefallen hat, unterstützen Sie bitte das Projekt unzensuriert mit einer Spende. Per paypal (Kreditkarte) oder mit einer Überweisung auf AT58 1420 0200 1086 3865 (BIC: BAWAATWW), ltd. Unzensuriert",False
Kurz gegenüber “Bild live”: „Auch bei Anklage bleibe ich Kanzler“,"Justiz    26. Juli 2021 / 11:01Kurz gegenüber “Bild live”: „Auch bei Anklage bleibe ich Kanzler“ÖVP-Bundeskanzler Sebastians Kurz will auch bei einer Anklageerhebung im Rahmen der Korruptionsermittlungen der Wirtschafts- und Korruptionsstaatsanwaltschaft (WKStA) gegen ihn nicht zurücktreten. Das hat er in einem Gespräch mit Bild live dezidiert festgehalten.“Habe immer die Wahrheit gesagt”In diesem Interview, das laut Bild am Freitag aufgenommen und am Sonntag ausgestrahlt wurde, antwortete Kurz in seinem schon über die Gebühr beanspruchten Selbstverständnis, auch über Institutionen und über moralischem Standard zu stehen, auf die Frage des Journalisten, ob ein Angeklagter Bundeskanzler sein könne:Ja, selbstverständlich. Schließlich ist bei solchen Anklagen nie etwas dran gewesen, und sie haben sich alle als falsch herausgestellt. Ich habe definitiv immer vorsätzlich die Wahrheit gesagt.Aussagen von Kurz passen nicht zu Chat-InhaltenSebastian Kurz wird von der WKStA verdächtigt, vor dem „Ibiza“-Untersuchungsausschuss zu drei Themen falsch ausgesagt zu haben. Gemäß 58-seitigem Verständigungsschreiben an den beschuldigten Kanzler wären das folgende Unwahrheiten, die Kurz behauptet haben soll:Bei der Bestellung von Thomas Schmid zum Alleinvorstand der ÖBAG wäre er nur informiert, aber nicht darüber hinausgehend eingebunden gewesen.Zudem bestritt Kurz Wahrnehmungen zur Besetzung des ÖBAG-Aufsichtsrats und zu einer Vereinbarung zwischen Schmid und FPÖ-Verhandler Arnold Schiefer zu „ÖIAG neu“ (ÖBAG, Anm.).Diese Aussagen von Kurz passen nicht zu den Chat-Inhalten, die von der WKStA ausgewertet wurden. Es gilt die Unschuldsvermutung.Wenn Ihnen der Artikel gefallen hat, unterstützen Sie bitte das Projekt unzensuriert mit einer Spende. Per paypal (Kreditkarte) oder mit einer Überweisung auf AT58 1420 0200 1086 3865 (BIC: BAWAATWW), ltd. Unzensuriert",False
Plagiatsskandal: Baerbock verfälschte auch geschichtliche Fakten,"Bundestagswahl    25. Juli 2021 / 17:57Plagiatsskandal: Baerbock verfälschte auch geschichtliche FaktenIm neuen Buch der Kanzlerkandidatin der Grünen finden sich neben zahlreichen Plagiaten aus anderen Schriftstücken auch viele inhaltliche Fehler. Besonders pikant: Die verdrehten Fakten passen nur allzu gut ins Weltbild der linken Politikerin.Baerbock schrieb von internen Konkurrenten Habeck abErst vor wenigen Monaten konnte die Bundesvorsitzende der Grünen/Bündnis 90 Annalena Baerbock das interne Rennen um die Kanzlerkandidatur für viele Beobachter überraschend gegen den beliebten Kinderbuchautor Robert Habeck für sich entscheiden. An der Kompetenz dürfte das wohl weniger gelegen haben, als an der parteiinternen Gender-Regelung: Seit Monaten dominieren zahlreiche Fehltritte der 40-Jährigen die Tageszeitungen.In erster Linie geht es dabei um einen aufgebesserten Lebenslauf der selbsternannten Völkerrechtlerin und zahlreiche Plagiate in dem vor kurzem erschienen Buch “Jetzt”. Wie aktuell durch den international anerkannten Aufdecker Stefan Weber bekannt wurde, scheint Baerbock auch bei ihrem Parteifreund ordentlich kopiert zu haben.Stellte Baerbock DDR-Unrechtsregime positiver dar?Doch das Übernehmen fremder Texte dürfte nicht alles sein. Wie Plagiatsgutachter Stefan Weber auf Twitter veröffentlichte, dürfte es die Grünen-Frontfrau auch mit geschichtlichen Fakten nicht so genau nehmen. So hatte Baerbock etwa behauptet, dass in der ehemaligen DDR 136 Orte nach dem Mauerfall verschwunden seien, in Wahrheit dürften diese aber schon während des kommunistischen Regimes verlassen worden sein. Außerdem vergisst sie, dass die westslawische Volksgruppe der Sorben gerade in DDR-Zeiten umgesiedelt wurde.plagiatsgutachten.com@antiplagNUN AUCH NOCH DDR- UND POST-WENDE-GESCHICHTSVERFÄLSCHUNG im Buch von Annalena #Baerbock. Wieder Fehler oder ideologisch motivierte Absicht (‚böser Kapitalismus‘ nach 1990)? Ein aufmerksamer Leser schreibt mir: https://t.co/b7BjSxzi182:04 AM · Jul 25, 2021    297    113Wenn Ihnen der Artikel gefallen hat, unterstützen Sie bitte das Projekt unzensuriert mit einer Spende. Per paypal (Kreditkarte) oder mit einer Überweisung auf AT58 1420 0200 1086 3865 (BIC: BAWAATWW), ltd. Unzensuriert",False
Fünf Jahre arbeiten ohne Essen und Trinken für eine kleine Wohnung,"Eigentum    25. Juli 2021 / 14:41Fünf Jahre arbeiten ohne Essen und Trinken für eine kleine WohnungDie Preise für Eigenheime steigen und steigen. Vor allem seit 2015, wofür die Agenda Austria, eine wirtschaftsliberale Denkfabrik in Wien, das Bevölkerungswachstum und die Niedrigzinspolitik der Europäischen Zentralbank verantwortlich macht.Masseneinwanderung mit Folgen2015 kamen 89.098 Fremde zusätzlich zu Arbeitsmigration, Familiennachzug usw. in unser Land. Das entspricht etwa dem Dreifachen des Jahres 2014 und mehr Anträgen als in den Jahren 2008 bis 2013 zusammen. 2016 waren es 42.285 neue Asylanträge, ehe ein Rückgang unter der FPÖ-Regierungsbeteiligung erreicht werden konnte. Damals ging die Einwanderung auf das Niveau der frühen 2000er Jahre zurück. Unter der ÖVP-Grünen-Regierung steigen die Zahlen wieder – trotz Corona-Einreisebeschränkungen.Diese Masseneinwanderung hatte zwangsläufig Auswirkungen auf den Wohnmarkt. So muss man heute in der Steiermark und in Kärnten 3,4 Netto-Jahresgehälter für 45 Quadratmeter Eigentum aufwenden, in Niederösterreich 3,9 Jahre, in Oberösterreich 4,1, in Vorarlberg 5,6, in Tirol 5,5, in Salzburg 5,7 und in Wien sogar 6,1. Nur in Kärnten kam es zu keinem Preisanstieg.Corona-Teuerungen noch nicht inbegriffenÜber ganz Österreich berechnet muss man fast fünf Jahre sein Gehalt oder seinen Lohn – ohne Essen und Trinken! – sparen, um sich eine 45-m2-Eigentumswohnung leisten zu können.Diese Zahlen errechnete Agenda Austria auf Basis von Daten der Statistik Austria und dem Rechnungshof für das Jahr 2019; das heißt, dass in diesen Zahlen noch nicht die Teuerung, die durch die Corona-Politik der schwarz-grünen Regierung hervorgerufen wurde, berücksichtigt ist.Wenn Ihnen der Artikel gefallen hat, unterstützen Sie bitte das Projekt unzensuriert mit einer Spende. Per paypal (Kreditkarte) oder mit einer Überweisung auf AT58 1420 0200 1086 3865 (BIC: BAWAATWW), ltd. Unzensuriert",False
Nehammers Ehefrau will mit Facebook-Posting Millionen scheffeln,"Justiz    25. Juli 2021 / 07:00Nehammers Ehefrau will mit Facebook-Posting Millionen scheffelnZahlreiche Facebook-Nutzer haben in den letzten Tagen Post von Rechtsanwalt und Verfassungsrichter Michael Rami erhalten. Im Namen seiner Mandantin Katharina Nehammer – Ehefrau des Innenministers – werden sie aufgefordert, innerhalb einer kurzen Frist stolze 4,482,84 Euro zu überweisen, andernfalls ihnen Klagen drohen. Betroffen könnten mehr als 1000 Nutzer sein. Zahlen sie alle, kassiert die Ministergattin rund 3,5 Millionen Euro. Der Kontostand des Anwalts würde durch den „Serienbrief“ um knapp 1 Million steigen.Facebook-Posting als Stein des AnstoßesDer Anlass für diese großangelegte „Inkassoaktion“ wirkt vergleichsweise harmlos. Den Facebook-Nutzern wird vorgeworfen, eine Textgrafik verbreitet oder geteilt zu haben, auf der folgendes geschrieben steht:Nehammers Gattin arbeitet im Hygiene Austria FFP2 Unternehmen vom Gatten der Sekretärin des Kurz. Uiii da wird Kohle gschefflt und das brave Volk glaubt es war für d‘ GSUNDHEITVorwurf der üblen NachredeAnwalt Rami behauptet in den Schreiben, die Nutzer hätten dadurch den strafrechtlichen Tatbestand der üblen Nachrede in Form eines Medieninhaltsdelikts sowie den zivilrechtlichen Tatbestand der Ehrenbeleidigung und Kreditschädigung verwirklicht. Einen Beweis, dass der Text tatsächlich von den jeweiligen Adressaten seines Schreibens veröffentlicht wurde, bleibt er jedoch schuldig.4.500 Euro zahlen oder geklagt werdenDennoch fordert Rami die Nutzer auf, innerhalb kurzer Frist zwei hohe Summen zu überweisen: 3.500 Euro als Entschädigung für Katharina Nehammer und 942,82 Euro für die Kosten seines eigenen Einschreitens. Zusätzlich müssen sich die Personen schriftlich verpflichten, diese ohne sinngleiche Behauptungen nicht mehr zu verbreiten. Tun sie das nicht oder verweigern sie die Zahlung, so kündigt Rami gerichtliche Schritte an, und zwar eine strafrechtliche Privatklage sowie eine zivilrechtliche Klage.Anwalt Dohr: Bis zu 4,5 Millionen für NehammerRechtsanwalt Michael Dohr, der zumindest einen der Empfänger des Schreibens vertritt, rechnet gegenüber dem Kurier (Paywall) mit enormen Geldsummen, die auf diese Weise eingetrieben werden sollen: „Das Posting wurde anscheinend 1.300 Mal geteilt. Wenn alle zahlen, wären das dann 4,5 Millionen Euro steuerfrei und nochmals 1,3 Millionen Euro für den Anwalt“. Dohr will weder eine üble Nachrede noch eine Ehrenbeleidigung erkennen.Gerichtlicher Vergleich als Basis für ForderungenRami stützt sich in seiner Forderung auf einen gerichtlichen Vergleich mit einem der Verbreiter des Postings. Dieser hatte sich zu einer Richtigstellung seiner Behauptung und zur Zahlung von 3.500 Euro Entschädigung an Katharina Nehammer verpflichtet. Im Gegenzug wurde die Privatklage gegen ihn zurückgezogen. Von übler Nachrede oder Ehrenbeleidigung ist in dem Vergleich jedoch keine Rede, sondern lediglich von der Verbreitung einer falschen Behauptung. Tatsächlich wurde allem Anschein nach bisher niemand aufgrund dieses Postings verurteilt.Nehammer arbeitet nicht bei Maskenhersteller, sondern bei dessen PR-FirmaBei dem inkriminierten Text handelt es sich insofern um eine falsche Behauptung, als Katharina Nehammer nicht bei der Firma Hygiene Austria arbeitet. Tatsächlich ist die ehemalige Kabinettsmitarbeiterin sowie Pressesprecherin von Innenminister Wolfgang Sobotka und Verteidigungsministerin Klaudia Tanner (beide ÖVP) jetzt für die PR-Firma eines ebenfalls ÖVP-nahen Unternehmers tätig. Diese Firma betreut auch die Hygiene Austria. Nehammer selbst arbeitet nach Aussagen des Unternehmens jedoch für andere Kunden.Schwere Vorwürfe: China-Masken umetikettiertDie Firma Hygiene Austria, die zumindest mittelbar im teilweisen Besitz des Ehemannes der Büroleiterin von Bundeskanzler Sebastian Kurz steht, ist mit massiven Vorwürfen konfrontiert. Es fand eine Razzia in den Firmengebäuden statt, weil dort Schutzmasken aus chinesischer Produktion umetikettiert und als Produkte „Made in Austria“ verkauft worden sein sollen. Es gilt die Unschuldsvermutung.Posting schon vor Bekanntwerden der MaskenaffäreEs mutet also auf den ersten Blick verständlich an, dass sich Katharina Nehammer gegen die falsche Behauptung wehrt, sie arbeite für ein solches Unternehmen. Allerdings: Die Postings wurden allesamt in den Tagen nach dem 7. Februar 2021 geteilt, die mutmaßlich illegalen Praktiken der Hygiene Austria flogen jedoch erst Anfang März auf. Dennoch wurde Nehammer sofort juristisch aktiv. Ihr Anwalt Rami sagte bereits am 23. Februar gegenüber der Kleinen Zeitung: „Eine besonders schwerwiegende üble Nachrede, daher geht meine Mandantin dagegen vor.“Seltsam, dass die Frau eines ÖVP-Ministers die Behauptung, sie arbeite für eine Firma, die sogar vom ÖVP-Bundeskanzler persönlich besucht wurde, als „besonders schwerwiegende üble Nachrede“ sieht. Hat sie mit ihrer Aktion Erfolg, wird man ihr das Geldscheffeln künftig jedenfalls nachsagen können.Keine Reaktion von Nehammer und RamiUnzensuriert.at hat sowohl Katharina Nehammer als auch ihrem Anwalt Michael Rami mehrere Fragen zu der fragwürdigen Serienbrief-Aktion gestellt, erhielt aber bislang keine Antworten. Bereits für den Kurier war Rami am Freitag nicht erreichbar.Wenn Ihnen der Artikel gefallen hat, unterstützen Sie bitte das Projekt unzensuriert mit einer Spende. Per paypal (Kreditkarte) oder mit einer Überweisung auf AT58 1420 0200 1086 3865 (BIC: BAWAATWW), ltd. Unzensuriert",False
