titles,content,label
US-Behörde nimmt ihren PCR-Test bis Jahresende vom Markt,"Coronavirus    28. Juli 2021 / 07:47US-Behörde nimmt ihren PCR-Test bis Jahresende vom MarktDer PCR-Test des deutschen Virologen Christian Drosten von der Berliner Charité gilt den Regierungen in Wien und Berlin als geheiligtes Mittel um festzustellen, ob jemand mit SARS-CoV-2 infiziert ist. Ob gegurgelt oder abgestrichen, sie sollen zuverlässiger sein als Antigentests und verdrängen ihn zunehmend.Infektionsgeschehen mittels PCR-Test festgestelltNicht nur in Österreich und der Bundesrepublik Deutschland vertraut die Regierung auf PCR-Tests. Auch in den USA wurde ein solcher Test entwickelt und ab dem 4. Februar 2020 eingesetzt, um festzustellen, ob jemand Corona positiv oder negativ ist. Damals erhielt der Test eine Notfallzulassung und bestimmte fortan über das Infektionsgeschehen.Notfallzulassung wird eingestelltNun will das US-Zentrum für Seuchenkontrolle und -prävention (CDC) die Zulassung für den selbst entwickelten Test mit 31. Dezember zurückziehen. Bis dahin hätten die klinischen Labore genügend Zeit, Test-Alternativen zu besorgen. Vor allem geht es darum, zukünftig zwischen SARS-CoV-2 und Influenza-Viren zu unterscheiden.Wenn Ihnen der Artikel gefallen hat, unterstützen Sie bitte das Projekt unzensuriert mit einer Spende. Per paypal (Kreditkarte) oder mit einer Überweisung auf AT58 1420 0200 1086 3865 (BIC: BAWAATWW), ltd. Unzensuriert",False
Arzt: Joe Biden ist krank und wird bald zurücktreten,"Joe Biden    27. Juli 2021 / 16:23Arzt: Joe Biden ist krank und wird bald zurücktretenDie Gerüchte um den schlechten Gesundheitszustand des US-Präsidenten Joe Biden reißen nicht ab. Nun meldet sich nach einem erneuten Aussetzer Bidens im Fernsehen ein hoher Arzt zu Wort: Biden wird offensichtlich immer kranker und wird bald zurücktreten.Urteil von Arzt vernichtendJoe Biden ist mit 78 Jahren der älteste Präsident der Vereinigten Staaten aller Zeiten. Seit Jahren kursieren viele Gerüchte um seinen geistigen Gesundheitszustand und eine mögliche Demenz oder „Verwirrtheit“. Nun meldet sich ein hoher Arzt zu Wort: Wie Österreich berichtet, analysierte Ronny Jackson, der unter Barack Obama und Donald Trump der offizielle Leibarzt im Weißen Haus war, den geistigen Gesundheitszustand von Biden. Sein Urteil ist vernichtend:Er ist jenseits jeglicher Peinlichkeit. Er ist verloren. Er kann kaum einen zusammenhängenden Satz sagen. Er muss sich einer kognitiven Untersuchung unterziehen und die Ergebnisse veröffentlichen.Biden stammelt von Aliens und KindernIn einem Interview mit Fox News rechnet Jackson damit, dass Biden bald zurücktreten muss. Grund für die erneuten Befeuerung der Gerüchte gab der Präsident selbst. In einem Gespräch in Cincinnati (Ohio), dass der Sender CNN ausstrahlte, fragte Biden einen Mann, ob dieser geimpft sei. Nachdem dieser die Frage bejahte, schweifte Biden vor laufenden Kameras in einen kurzen, völlig wirren Monolog ab:Sind sie ok damit? Die Impfung scheint zu funktionieren. Oder, oder, Ihre Mütter und Väter. Oder Ihre Nachbarn, oder, oder wenn Sie in die Kirche gehen. Nein, ich, ich, ich meine es wirklich so. Denken Sie an Ihre Kinder. Wenn Ihr Kind herausfindet, ob es einen Mann auf dem Mond gibt oder nicht. Oder, oder, ob es Außerirdische gibt oder nicht. Ich meine, wo sind all diese Kinder, zu denen ich reden soll?Trump warnte vor Rücktritt von „Sleepy Joe“Es war nicht der erste Aussetzer von Biden, die Szenen reihen sich in eine ganze Reihe von Vorfällen ein. Wenn Biden tatsächlich zurücktreten sollte, wird seine Vizepräsidentin Kamala Harris ihm ohne Wahl nachfolgen. Die indisch-jamaikanisch-stämmige Harris gilt als eine aggressive Verfechterin des linken Flügels der Demokratischen Partei. Sie solidarisierte sich mehrmals mit Bewegungen wie „Black-Lives-Matter“ oder der Antifa. Ex-Präsident Trump warnte in seinem Wahlkampf eindringlich vor solch einem Szenario. Immer wieder wies er darauf hin, dass „Sleepy Joe“ (schläfriger Joe), wie er ihn nannte, aus gesundheitlichen Gründen und altersbedingt nicht die vier Jahre durchhalten wird.Wenn Ihnen der Artikel gefallen hat, unterstützen Sie bitte das Projekt unzensuriert mit einer Spende. Per paypal (Kreditkarte) oder mit einer Überweisung auf AT58 1420 0200 1086 3865 (BIC: BAWAATWW), ltd. Unzensuriert",False
Milliardär und Ex-Ministerpräsident Mikati soll neue Regierung im Libanon bilden,"Libanon    27. Juli 2021 / 10:37Milliardär und Ex-Ministerpräsident Mikati soll neue Regierung im Libanon bildenZurück an den Start heißt es in Sachen Regierungsbildung im Libanon. Ein knappes Jahr nach der Explosionskatastrophe in der Hauptstadt Beirut soll jetzt der Milliardär Nadschib Mikati ein neues tragfähiges Regierungsbündnis schmieden. Für Mikati ist das kein Neuland,  bereits 2005 und 2011 hatte er die Position des Ministerpräsidenten im Libanon übernommen.Der sunnitische Politiker, der auch viele Jahr Minister in verschiedenen Kabinetten gewesen ist, verfügt über ein geschätztes Vermögen von 2,7 Milliarden US-Dollar. Gleichzeitig gilt er als Verbindungsmann nach Saudi-Arabien, vor allem aber auch zum Nachbarland Syrien.Mikati folgt Hariri bei RegierungsbildungMikati folgt dem erfolglosen ehemaligen designierten Ministerpräsident Saad Hariri nach, der sich in den letzten neun Monaten wiederholt bemüht hatte, ein Regierungsbündnis unter Einbindung von Sunniten, Schiiten und Christen in Beirut zu bilden. Mikati hat aktuell das Vertrauen des christlichen Staatspräsidenten Aoun und der wesentlichen politischen Blöcke im Parlament.Vor Hariri hatte Mustafa Adib wegen interner Machtkämpfe bei der Regierungsbildung den Auftrag zurückgegeben. Dessen Vorgänger Hassan Diab war im vergangenen August nach der verheerenden Explosion im Beiruter Hafen zurückgetreten.Internationale Geldgeber fordern stabile RegierungDie internationalen Geldgeber fordern seit einem Jahr stabile Verhältnisse im Libanon. Nur wenn diese darstellbar sind und wesentliche Reformschritte eingeleitet werden, sollen Hilfsgelder aus der EU, aber auch den USA in den krisengeschüttelten Libanon fließen.Durch seine geostrategisch wichtige Rolle als Nachbarland von Syrien und Israel genießt der Libanon erhöhte Aufmerksamkeit. Derzeit ist er auch Zwischenstation vieler syrischer Flüchtlinge und Aufmarschgebiet der vom Iran unterstützten schiitischen Terrormiliz Hisbollah.Wenn Ihnen der Artikel gefallen hat, unterstützen Sie bitte das Projekt unzensuriert mit einer Spende. Per paypal (Kreditkarte) oder mit einer Überweisung auf AT58 1420 0200 1086 3865 (BIC: BAWAATWW), ltd. Unzensuriert",False
In Israel macht sich Ernüchterung breit: Geimpfte stellen Mehrheit der Corona-Kranken,"Coronavirus    26. Juli 2021 / 20:47In Israel macht sich Ernüchterung breit: Geimpfte stellen Mehrheit der Corona-KrankenIsrael, Vorreiter in Sachen Corona-Impfung mit mittlerweile fast 60 Prozent doppelt Geimpften unter der Bevölkerung, meldet eine steigende Zahl an Neuinfektionen mit der Coronavirus-Variante Delta.Geimpfte – Hauptgruppe an ErkranktenDie Zeitung Haaretz berichtet von 191 Infizierten in israelischen Krankenhäusern am gestrigen Sonntag, wobei 113 davon Geimpfte waren.Das steht im Widerspruch zur Aussage des Leiters der Pfizer-Niederlassung in Israel, Alon Rappaport, der vor vier Wochen sagte, dass der Biontech-Pfizer-Impfstoff auch gegen die Delta-Variante hochwirksam sei und eine Corona-Infektion zu rund 90 Prozent verhindere. Die Gesundheitsbehörden gaben zuletzt eine Wirksamkeit von 64 Prozent an.Seltsame GesundheitspolitikLaut den Ärzten wäre der Verlauf der aktuellen Krankheit milder als bei den vorherigen Wellen, was sich auch mit den Beobachtungen aus Großbritannien deckt, wo die Delta-Variante für Europa ihren Ausgang nahm.Die Delta-Variante gilt als ansteckender, aber weniger gefährlich, was auch die Virologie lehrt, wonach jede Mutation weniger gefährlich als die vorherige ist. Doch die Tatsache des milderen Krankheitsverlaufs bei der Delta-Variante wird nicht mit der Mutationsabschwächung sondern mit der Impfung begründet.Gleichzeitig wurden durch die Massenimpfung die Gesunden, 99 Prozent der Bevölkerung, einer Gefährdung durch neuartige Impf-Präparate ausgesetzt dafür, dass die Impfung die ohnedies seltene Erkrankung – vier Prozent aller Infizierten in Israel – dann abmildert.Wenn Ihnen der Artikel gefallen hat, unterstützen Sie bitte das Projekt unzensuriert mit einer Spende. Per paypal (Kreditkarte) oder mit einer Überweisung auf AT58 1420 0200 1086 3865 (BIC: BAWAATWW), ltd. Unzensuriert",False
Bessarabien: Russischer Präsident Putin bezeichnet Rumänien als „Besatzer“,"Rumänien    26. Juli 2021 / 19:52Bessarabien: Russischer Präsident Putin bezeichnet Rumänien als „Besatzer“Nach jüngst scharfen Wortangriffen auf einen unabhängigen ukrainischen Staat holte Russlands Ministerpräsident Wladimir Putin erneut aus. Diesmal bezeichnet er Rumänien als „Besatzer“.Putin will Vereinigung der Ukraine mit RusslandNach der Volksabstimmung und der Angliederung der russisch bewohnten Krim an Russland, sowie dem Bürgerkrieg in der Ostukraine mit russischen Separatisten, ist die Stimmung zwischen Russland und der Ukraine auf einem absoluten Tiefpunkt. Wie unzensuriert berichtete, bezeichnete der russische Ministerpräsident Wladimir Putin jüngst eine unabhängige Ukraine als eine “unglückliche Wendung der Geschichte ohne historische Legitimation”. In seinen Augen sind Russen und Ukrainer das gleiche Volk, er beschwor die Einheit. Doch die Worte dürften kaum versöhnlich bei der Ukraine ankommen, da Putin auch die heutigen Grenzen der Ukraine in Ost und West in Frage stellt.Rumänien ist ein treuer Partner der USAAuch mit Rumänien hat Russland seit Jahrzehnten ein schlechtes Verhältnis, auch hier ist man an einem diplomatischen Tiefpunkt angelangt. Rumänien gilt in der NATO als einer der treuesten Verbündeten der Vereinigten Staaten. Diese unterstützen Rumänien im Gegenzug gerne mit großzügigen finanziellen Hilfen. Wie unzensuriert ebenfalls berichtete, spendeten die Vereinigten Staaten jüngst eine halbe Millionen US-Dollar für die Sanierung von deutschen Kirchenburgen in Siebenbürgen, die vom rumänischen Staat völlig verwahrlost wurden.Rumänien ist ein „Besatzer“Nun bezeichnete, wie die ungarisch-sprachige itthon berichtet, Putin die Rumänen in Bezug auf Bessarabien als Besatzer, die Russland beraubt hätten. Bessarabien entspricht heute weitgehend der Republik Moldau, die größtenteils von ethnischen Rumänen bewohnt wird. Rumänen bewohnten ursprünglich die Fürstentümer Walachei und Moldau (das westlich des heutigen Staates Moldau lag). Nach Bessarabien hatten sie sich im Laufe der Geschichte ausgebreitet. Bessarabien hatte dabei oftmals die Zugehörigkeit zwischen dem rumänischem Fürstentum Moldau, dem Osmanischen Reich und Russland gewechselt.Lob an Grenzbereinigungen von 1940Putin impliziert hier neben der Ukraine auch an Bessarabien einen Gebietsanspruch. Seine Worte gegenüber Rumänien sind selbst für das bereits schlechte Verhältnis ungewöhnlich scharf, zumal die rumänisch bewohnte Republik Moldau seit 1940 nicht mehr zum rumänischen Staat gehört und seit 1991 unabhängig ist. Putin lobte dabei direkt das Jahr 1940 und bezeichnete die dortigen Grenzverschiebungen, insbesondere die Eingliederung Bessarabiens in die Sowjetunion, als „Bereinigung“.Auch Ungarn ist Teil des KonfliktsBesonders pikant ist es, dass es im Zuge derselben Neuordnungen der rumänischen Grenzfragen 1940 auch zum zweiten Wiener Schiedsspruch kam, durch den Ungarn von Rumänien Nordsiebenbürgen zurückbekommen hat. Das Verhältnis zwischen Ungarn und Rumänien ist auf dem gleichen Tiefpunkt wie mit Russland, nur gilt gleichzeitig Ungarn unter Ministerpräsident Viktor Orbán als enger Verbündeter Russlands. Es ist gut möglich, dass Putin mit den neuerlichen Wortangriffen auch Ungarn beistehen oder sogar den Konflikt verschärfen möchte.Wenn Ihnen der Artikel gefallen hat, unterstützen Sie bitte das Projekt unzensuriert mit einer Spende. Per paypal (Kreditkarte) oder mit einer Überweisung auf AT58 1420 0200 1086 3865 (BIC: BAWAATWW), ltd. Unzensuriert",False
Gemälde von US-Präsidentensohn Hunter Biden unüblich teuer,"USA    25. Juli 2021 / 19:02Gemälde von US-Präsidentensohn Hunter Biden unüblich teuerHunter Biden, Sohn des demokratischen US-Präsidenten Joe Biden, bisher eigentlich nur als Unternehmer und Manager mit zweifelhaften Projekten, etwa in der Ukraine, aufgefallen, macht jetzt Kunst. Aktuell stellt er seine Kunstwerke in einer New Yorker Galerie aus und bietet sie zum Verkauf an.Wie US-Medien berichten, sollen die Preise der Biden-Gemälde zwischen stolzen 75.000 und 500.000 US-Dollar liegen. Damit werden solche Kunstgeschäfte auch für Personen interessant, die eine Nähe zum US-Staatsoberhaupt erlangen wollen – und sich das auch einiges kosten lassen.Führt Gemäldekauf zur Korruption im Weißen Haus?Jetzt stellen sich findige Journalisten, aber auch Teile der oppositionellen US-Republikaner die Frage, ob ein Gemäldekauf beim Präsidentensohn nicht zielgerichtet zur Korruption im Weißen Haus führen könnte.Die Sprecherin des US-Präsidenten kündigte auf Nachfrage „Sicherheitsvorkehrungen“ an. So soll etwa der Galerist, der die Hunter Biden-Gemälde verkauft, die Namen der Käufer gegenüber dem Künstler nicht preisgeben, um hier keinen Korruptionsverdacht aufkommen zu lassen.Hunter Biden im Visier der RepublikanerDie Republikaner wollen die Gemälde-Causa in den nächsten Wochen und Monaten weiter beobachten. Sie hatten auch im US-Präsidentschaftswahlkampf immer wieder auf die schillernde wirtschaftliche Vergangenheit Hunter Bidens hingewiesen und einen Zusammenhang mit der politischen Stellung des Vaters vermutet. Zudem sollen laut Medienberichten auch immer noch Ermittlungen im Zusammenhang mit Steuervergehen vom Präsidentensohn vor US-Behörden laufen.Wenn Ihnen der Artikel gefallen hat, unterstützen Sie bitte das Projekt unzensuriert mit einer Spende. Per paypal (Kreditkarte) oder mit einer Überweisung auf AT58 1420 0200 1086 3865 (BIC: BAWAATWW), ltd. Unzensuriert",False
Tschechien: Schusswaffen als Grundrecht,"Selbstverteidigung    23. Juli 2021 / 18:21Tschechien: Schusswaffen als GrundrechtIn Tschechien wird der Besitz von Schusswaffen demnächst zu einem verfassungsmäßigen Grundrecht. Am Mittwoch billigte das Abgeordnetenhaus des österreichischen Nachbarlandes das breit unterstütze Vorhaben.Deutliche Mehrheit will VerfassungsänderungWas in Österreich undenkbar ist, ist in Tschechien seit Mittwoch Realität: Nach dem Abgeordnetenhaus billigte am Mittwoch auch die zweite Kammer des Parlaments, mit klarer Mehrheit die Verfassungsänderung.Sofern der als Befürworter geltende Präsident Milos Zeman das Gesetz unterzeichnet, wird es in Zukunft auch in der tschechischen Grundrechtscharta ein Recht auf eine eigene Waffe geben:“Das Recht, sein Leben oder das Leben eines anderen Menschen mit der Waffe zu verteidigen, ist unter den gesetzlichen Bedingungen garantiert.” Waffenrecht in Verfassung als Gegenbewegung zu EU-VorstoßDer Vorstoß des EU-Mitgliedstaates war eine Reaktion auf Bemühungen der EU-Kommission, den Erwerb von Handfeuerwaffen EU-weit zu erschweren. Eine daraufhin gestartete Petition dagegen unterschrieben in Tschechien mehr als 100.000 Menschen, unter anderem Regierungschef Andrej Babis.In Tschechien hat aktuell fast jeder zehnte Einwohner einen Waffenschein. Die Zahl der relativ frei zugänglichen Waffen steigt zudem jährlich an. Eine psychologische Untersuchung ist nur in Einzelfällen erforderlich. Tschechien ist zudem ein bedeutender Exporteur von Feuerwaffen aus eigener Herstellung. So hat vor wenigen Wochen die tschechische CZG-Gruppe jüngst den traditionsreichen US-Konkurrenten Colt übernommen.Wenn Ihnen der Artikel gefallen hat, unterstützen Sie bitte das Projekt unzensuriert mit einer Spende. Per paypal (Kreditkarte) oder mit einer Überweisung auf AT58 1420 0200 1086 3865 (BIC: BAWAATWW), ltd. Unzensuriert",False
Nächste italienische Region kippt Diskriminierung von Ungeimpften,"Coronavirus    21. Juli 2021 / 07:54Nächste italienische Region kippt Diskriminierung von UngeimpftenNach dem Verwaltungsgericht Ligurien hat nun auch der Verwaltungsgerichthof der Region Emilia-Romagna in Bologna einen Stopp für die gelebte Praxis verfügt, wonach Gesundheitspersonal, das sich nicht gegen Corona impfen lässt, ohne Einkommen suspendiert wird.Entlastung für das GesundheitswesenBis zur Verhandlung der Klage gegen die in Italien bestehende Impfpflicht für Berufstätige im Gesundheitsbereich im Oktober dürfen Ungeimpfte wieder ohne Einschränkung ihrer Arbeit nachgehen – eine deutliche Entlastung für das Gesundheitswesen, das auch ohne diese Suspendierungen unter Personalmangel leidet.Das Gericht wies den Einspruch des Gesundheitsbetriebes der Region, der die Suspendierungen von Impfverweigerern fortsetzen wollte, ab. Suspendierungen, die dennoch vorgenommen werden, werden vom Gericht sofort kassiert. Damit soll schon dem Ansinnen, Ungeimpfte zu diskriminieren, Einhalt geboten werden.Für Rechtsstaat unwürdigDie Sache vertritt derselbe Rechtsanwalt, der auch bereits in Ligurien erfolgreich war. Daniele Granara argumentiert, dass sich mehr als 30 Prozent im Gesundheitswesen nicht impfen lassen und weitere 30 Prozent es nur widerwillig taten, um einem Streit und/oder der Suspendierung ohne Gehalt aus dem Wege zu gehen. Diese Impfbegründung sei, so Granara, der inzwischen das Vertretungsmandat von über 4.000 Mandanten hat, in einem Rechtsstaat inakzeptabel.Granara kämpft gegen die Impfpflicht im Gesundheitswesen, weil die Impfrisiken nicht bekannt seien, die Immunisierungserfolge, wie sie die Regierung in Rom verspricht, zu gering sind und grundsätzliche Zweifel an der Rechtmäßigkeit einer Impfpflicht bestehen. Unter Verweis auf die Fakten in Israel bezeichnet Granara die ganze Corona-Impfung als “Totales Scheitern”Wenn Ihnen der Artikel gefallen hat, unterstützen Sie bitte das Projekt unzensuriert mit einer Spende. Per paypal (Kreditkarte) oder mit einer Überweisung auf AT58 1420 0200 1086 3865 (BIC: BAWAATWW), ltd. Unzensuriert",False
Taliban auf dem Vormarsch: Präsidentenpalast unter Raketenbeschuss,"Afghanistan    20. Juli 2021 / 21:03Taliban auf dem Vormarsch: Präsidentenpalast unter RaketenbeschussIm Afghanistan-Krieg sind seit dem Abzug der NATO-Truppen die Taliban auf dem Vormarsch. Heute, Dienstag, wurden drei Raketen auf den Präsidentenpalast in Kabul abgeschossen.Seit inzwischen 43 Jahren KriegIn Afghanistan ist noch lange kein Frieden in Sicht. Was 1978 mit dem Staatsstreich einer kommunistischen Partei begann, endete in einem inzwischen 43 Jahre andauernden Krieg.In der jüngsten Phase kämpfte die NATO gemeinsam mit einer vom Westen installierten Regierung gegen die islamischen Taliban-Rebellen. Dass deren alte Organisationsform, die Mudschahedin-Krieger, in einer früheren Phase des Krieges hauptsächlich von den Vereinigten Staaten ausgebildet und bewaffnet wurden, zeigt die traurige Absurdität des Afghanistan-Krieges.Kosten und Opfer kaum zu fassenNach zwanzig Jahren verließ die NATO, ohne sich offiziell ihre Niederlage einzugestehen, heuer das gebeutelte Land. Wie das ZDF berichtet, haben die Taliban bereits wenige Wochen nach dem Abzug wieder über die Hälfte des Landes eingenommen.Die Kosten der sinnlosen NATO-Kriegsbeteiligung sind kaum in Zahlen zu fassen. Wie die Frankfurter Allgemeine Zeitung berichtet, schätzte die britische Financial Times allein die Kosten für die Vereinigten Staaten für die Beteiligung zwischen 2001 und 2014 auf eine Billionen Dollar. Zum Vergleich: Dies entspricht mehr als dem doppelten BIP des Staates Österreich und mehr als dem Fünfzigfachen von Afghanistan.Mehr als Geld wiegen jedoch die Menschenleben. Auf Seite der NATO ließen rund 3.400 Soldaten ihr Leben, davon 55 Deutsche. Die Gesamtopferzahl seit 1978 wird laut Schätzungen auf über zwei Millionen beziffert, der Großteil davon Zivilisten.Raketeneinschlag auf Video zu hörenNun zieht sich die Schlinge für die vom Westen eingesetzte Regierung schnell zu. Dabei scheinen die Rebellen langsam auf die Hauptstadt vorzurücken, die längst in einem Kessel der Taliban liegt. Wie die Bild berichtet, sind am Dienstag drei Raketen auf den Präsidentenpalast abgefeuert worden und schlugen in unmittelbarer Nähe ein. Auf Twitter sieht man in einem Video, wie heftig die Einschläge im Palast zu spüren waren. Die Raketen schlugen während eines Gebets in der Nähe ein. Die Betenden versuchten sich nichts anmerken zu lassen, doch während der lauten Einschläge zuckten sie merklich zusammen, einzelne ergriffen die Flucht.Wenn Ihnen der Artikel gefallen hat, unterstützen Sie bitte das Projekt unzensuriert mit einer Spende. Per paypal (Kreditkarte) oder mit einer Überweisung auf AT58 1420 0200 1086 3865 (BIC: BAWAATWW), ltd. Unzensuriert",False
Illegale Migranten erpressen Regierung mit Hungerstreik,"Belgien    20. Juli 2021 / 20:37Illegale Migranten erpressen Regierung mit HungerstreikZu immer massiveren Mitteln greifen illegale Einwanderer europaweit, um ihren Aufenthalt in den einzelnen EU-Staaten zu erzwingen. So kampieren mehr als 400 illegale Einwanderer und Wirtschaftsflüchtlinge seit Monaten in der belgischen Hauptstadt Brüssel in einer Kirche und auf einem Universitätsgelände. Sie fordern ohne rechtliche Grundlage einen legalen Aufenthaltsstatus und sind dafür teilweise sogar in den Hungerstreik getreten. Durch die Verweigerung der Nahrungsaufnahme und den dadurch herbeigeführten schlechten körperlichen und psychischen Zustand versuchen sie jetzt die belgische Regierung zum Einlenken zu bringen.Regenbogenkoalition droht an Hungerstreik zu scheiternDie aus Liberalen, Christdemokraten, Sozialisten und Grünen bestehende belgische Regenbogenkoalition droht an diesem Hungerstreik und den Folgen zu scheitern. Sozialisten und Grüne haben bereits mit einem Ausstieg aus der Koalitionsregierung gedroht, wenn einzelne illegale Einwanderer körperlich zu Schaden kommen sollten.Dies wäre ein schwerer Schlag für den liberalen Ministerpräsidenten Alexander De Croo, der ohne Sozialisten und Grüne keine Mehrheit mehr im belgischen Parlament hinter sich hätte. Mittlerweile wurde medizinisches Personal vor Ort stationiert, um jederzeit eingreifen zu können.Farbiger Integrationsstaatssekretär Mahdi verweigert BleiberechtBesondere Brisanz gewinnt der innenpolitische Streit rund um das Bleiberecht der illegalen Einwanderer durch die Person des amtierenden Integrationsstaatssekretär Sammy Mahdi. Der farbige Christdemokrat ist selbst der Nachfahre eines irakischen Einwanderers nach Belgien. Die Mutter ist Flämin.Mahdis Angebot lautet auf eine individuelle Prüfung von Aufenthaltsrechten bei jeder einzelnen Person. Eine kollektive Gewährung des Aufenthaltsrechts für alle 400 Illegalen lehnt der Christdemokrat aber strikt ab.Wenn Ihnen der Artikel gefallen hat, unterstützen Sie bitte das Projekt unzensuriert mit einer Spende. Per paypal (Kreditkarte) oder mit einer Überweisung auf AT58 1420 0200 1086 3865 (BIC: BAWAATWW), ltd. Unzensuriert",False
