titles,content,subject,label
Olympia 2021: Schweizer Sprinter Alex Wilson wieder gesperrt,"Sprinter Alex Wilson Für den Schweizer Sprinter Alex Wilson sind die Olympischen Spiele von Tokio vorzeitig gelaufen. Nur zwei Tage nachdem sein vermeintlicher Europarekord nicht anerkannt worden war, setzte der Internationale Sportgerichtshof Cas die im März gegen ihn verhängte Dopingsperre am Mittwoch wieder ein. Der gebürtige Jamaikaner darf damit bis zum Abschluss des Verfahrens nicht laufen. Beim 31-Jährigen war im März in einer Dopingprobe die verbotene Substanz Trenbolone festgestellt worden. Wilson hatte dies auf den Verzehr von kontaminiertem Fleisch zurückgeführt. Die Disziplinarkammer für Dopingfälle von Swiss Olympic hatte die zunächst verhängte provisorische Sperre Anfang Juli ausgesetzt, dagegen legten in der vergangenen Woche der Leichtathletik-Weltverband World Athletics und die Welt-Anti-Doping-Agentur Wada Einspruch ein. In der Zwischenzeit war Wilson am 18. Juli bei einem kleinen Meeting in den USA über 100 Meter (9,84 Sekunden) schneller als der Europarekord und auch über 200 Meter (19,89) eine Spitzenzeit gelaufen. Angesichts der Videoaufnahmen und Wilsons bisheriger Bestwerte (10,08/19,98) waren aber deutliche Zweifel an der Korrektheit der Messung aufgetreten - auch bei Wilson und seinem Trainer. Sowohl der Schweizer wie auch der europäische Verband erkannten die Rekordläufe schließlich nicht an.  SPIEGEL+-Zugang wird gerade auf einem anderen Gerät genutzt   SPIEGEL+ kann nur auf einem Gerät zur selben Zeit genutzt werden.   Klicken Sie auf den Button, spielen wir den Hinweis auf dem anderen Gerät aus und Sie können SPIEGEL+ weiter nutzen.   Sprinter Alex Wilson Melden Sie sich an und diskutieren Sie mit",no subject stated,True
Olympia 2021: Simone Biles sagt Teilnahme am Mehrkampf-Finale ab,"Die viermalige Rio-Olympiasiegerin Simone Biles Simone Biles hat ihren Start im olympischen Mehrkampf-Finale der Kunstturnerinnen bei den Sommerspielen in Tokio abgesagt. Der US-Turnverband gab am Mittwoch medizinische Gründe für die Entscheidung an. Biles wolle den Fokus auf ihre mentale Gesundheit legen. Ihren Platz in den Medaillenkämpfen am Donnerstag übernimmt Jade Carey. Am Vortag war die 24 Jahre alte Athletin nach dem ersten von vier Durchgängen wegen mentaler Probleme aus dem Team-Wettbewerb ausgestiegen. Das US-Team mit Sunisa Lee, Jordan Chiles und Grace McCallum belegte ohne Biles Rang zwei hinter dem ROC-Team und vor Großbritannien. Man wolle schauen und abwarten, inwieweit Biles an den weiteren Wettbewerben teilnehmen könne und wolle. «Simone wird weiterhin täglich bewertet, um herauszufinden, ob sie in den Einzel-Finals in der kommenden Woche teilnehmen kann», schrieb der Verband. Vom 1. bis 3. August stehen die Gerätefinals auf dem Programm, für die sich Biles allesamt qualifiziert hatte. Beim US-Fernsehsender NBC sagte Biles: «Körperlich fühle ich mich gut, ich bin in Form.» Für ihre Entscheidung, auf sich zu achten, erhielt Biles viel Zuspruch und Unterstützung. «Bin ich gut genug? Ja, ich bin gut genug. Das Mantra, das ich täglich praktiziere. Simone Biles, wir sind stolz auf dich und drücken dir die Daumen», twitterte die ehemalige First Lady Michelle Obama. Rekord-Olympiasieger Michael Phelps, der 2018 seinen eigenen Kampf mit Depressionen und Selbstmordgedanken nach den Sommerspielen 2012 offenbart hatte, sagte, Biles' Kampf zu sehen, habe ihm «das Herz gebrochen». «Das Wichtigste ist, dass wir alle manchmal um Hilfe bitten müssen, wenn wir durch diese Zeiten gehen», sagte Phelps. Der 23-malige Schwimm-Olympiasieger erklärte bei NBC, dass die Olympischen Spiele für Athleten überwältigend sein könnten und dass er während seiner eigenen Karriere oft damit zu kämpfen gehabt habe, Unterstützung zu finden.  SPIEGEL+-Zugang wird gerade auf einem anderen Gerät genutzt   SPIEGEL+ kann nur auf einem Gerät zur selben Zeit genutzt werden.   Klicken Sie auf den Button, spielen wir den Hinweis auf dem anderen Gerät aus und Sie können SPIEGEL+ weiter nutzen.   Die viermalige Rio-Olympiasiegerin Simone Biles Melden Sie sich an und diskutieren Sie mit",no subject stated,True
Steigende Infektionszahlen: Corona dämpft Konsumrausch,"Konsummesse IBO: »Gut gefüllte Portemonnaies« Die wieder steigenden Corona-Infektionszahlen drücken auf die Konsumstimmung der Menschen in Deutschland. Die Erwartungen der Deutschen an die Konjunktur und die Einkommenserwartung seien leicht zurückgegangen – trotzdem sei die Kauflust noch einmal ganz leicht gestiegen, teilte das Nürnberger Konsumforschungsunternehmen GfK am Mittwoch mit. GfK erstellt monatlich eine Prognose zur Konsumlaune in Deutschland. Im Juni hatte die Konjunkturerwartung der Deutschen noch ein Zehn-Jahres-Hoch erreicht. »Die Phase sinkender Inzidenzen ist zu Ende gegangen und die Infektionszahlen steigen wieder«, sagte GfK-Konsumforscher Rolf Bürkl. »Zudem hat die Dynamik beim Impfen trotz ausreichend vorhandenen Impfstoffs zuletzt deutlich nachgelassen«, fügte er hinzu. »Dies verhindert gegenwärtig einen weiteren deutlichen Anstieg der Konsumstimmung.« Ein weiterer belastender Faktor sei das Thema Inflation. Die Erfahrung zeige, dass steigende Preise, wie derzeit zu beobachten, die Lust am Einkaufen dämpften. Der Forscher glaubt jedoch, dass der private Konsum auch in der zweiten Jahreshälfte eine Stütze der Konjunktur in Deutschland sein kann. Auch die »gut gefüllten Portemonnaies« der Menschen in Deutschland würden dafür sorgen. GfK befragt jeden Monat im Auftrag der EU-Kommission 2000 Menschen. Die Studie zum Konsumklima ist ein Auszug aus der Gesamtbefragung.  SPIEGEL+-Zugang wird gerade auf einem anderen Gerät genutzt   SPIEGEL+ kann nur auf einem Gerät zur selben Zeit genutzt werden.   Klicken Sie auf den Button, spielen wir den Hinweis auf dem anderen Gerät aus und Sie können SPIEGEL+ weiter nutzen.   Konsummesse IBO: »Gut gefüllte Portemonnaies« Melden Sie sich an und diskutieren Sie mit",no subject stated,True
Ahrtal-Überflutung: Hausbesitzer suchen nach Versicherungen,"Zerstörtes Haus im Ahrtal: Gefährdete Lagen lassen sich dagegen kaum versichern Nach der Flutkatastrophe in Rheinland-Pfalz und Nordrhein-Westfalen verzeichnen Versicherungen ein deutlich höheres Interesse an Elementarschadenversicherungen. Das Tiefdruckgebiet »Bernd« habe die Nachfrage nach solchen Policen, die Schäden bei Naturereignissen wie Hochwasser und Überschwemmungen abdecken, bei Vertriebspartnern spürbar steigen lassen, berichtete etwa die Ergo-Versicherung in Düsseldorf. Die Debeka aus Koblenz erklärte, die Zahl der Anfragen und Anträge zur Absicherung der weiteren Naturgefahren sei seit der Flut deutlich gewachsen. »Bestehende Verträge werden entsprechend erweitert.« Auch die HDI, die zum Talanx-Konzern gehört, berichtet von einem größeren Interesse. Man habe derzeit »vermehrt Anfragen zu Elementardeckungen sowohl von Privatkunden als auch von kleinen und mittelständischen Firmen und Selbstständigen«, hieß es. Ähnlich äußerte sich die Allianz Deutschland. »Unsere Agenturen werden aktiv darauf angesprochen«, sagte eine Sprecherin. Kunden hätten zuletzt deutlich mehr »Extremwetterschutzbausteine« gekauft. Nach dem schweren Hochwasser in Westdeutschland ist die Debatte darüber entbrannt, wie Schäden durch Flutkatastrophen besser abgesichert werden könnten. Die üblichen Standardpolicen in der Gebäudeversicherung umfassen zwar Sturm und Hagel, nicht aber Hochwasser, Überschwemmung oder Erdrutsche – das muss mit Elementarverträgen zusätzlich abgesichert werden. »Kurz nach einer Naturkatastrophe wie im Moment ist die Aufmerksamkeit für derartige Geschehnisse hoch«, sagte ein Sprecher der mit den Sparkassen verbundenen Versicherungskammer. Ähnliches war schon 2016 zu beobachten: Damals gab es nach schweren Überschwemmungen in Bayern und Baden-Württemberg deutschlandweit einen Sprung mit einem Plus von acht Prozent bei Elementarverträgen. Die übliche Wachstumsrate ist mit einem jährlichen Plus von vier bis fünf Prozent niedriger, zeigen Zahlen des Versicherungsverbands GDV. Die Hochwasserkatastrophe in Deutschland dürfte die Versicherungen in Deutschland nach neuesten GDV-Schätzungen bis zu 5,5 Milliarden Euro kosten. Fast zwei Drittel der Schäden entstanden in Rheinland-Pfalz, knapp ein Drittel in Nordrhein-Westfalen. Rund 40.000 Autos seien von den Fluten beschädigt oder zerstört worden, dazu kommen Schäden an Gebäuden. Allein die Allianz rechnet mit Ersatzleistungen von mehr als 500 Millionen Euro an Privat- und Firmenkunden. Viele Kunden hätten Elementarversicherungen trotz der steigenden Risiken im Zuge des Klimawandels bislang abgelehnt, stellte die HUK-Coburg fest. Angesichts der Flut habe sich hier etwas geändert. Andere Erfahrungen macht die R+V, die seit Jahren eine höhere Nachfrage nach Versicherungsschutz für weitere Naturgefahren beobachtet. Nach jetzigem Fortschritt könnte es aber Jahrzehnte dauern, bis die große Mehrheit der Häuser in Deutschland gegen Elementargefahren versichert ist. Derzeit ist es nach Zahlen des GDV weniger als die Hälfte der Gebäude, nämlich 46 Prozent. Das sind allerdings bereits mehr als doppelt so viele wie vor zwei Jahrzehnten. Die Versicherungsbranche hat ein Interesse daran, Policen gegen Elementarschäden zu verkaufen und bewirbt diese gezielt. Eine Pflicht für Elementarschadenversicherungen lehnt der GDV aber ab. In manchen Gegenden sind die Policen weniger dringlich, da die Wahrscheinlichkeit von Hochwasser dort gering ist. Andere gefährdete Lagen, zum Beispiel an Flüssen, lassen sich dagegen kaum versichern. Zur Frage, ob nach der Flut Elementarschadenpolicen teurer werden könnten, hielten sich die Anbieter zurück. Für eine Antwort sei es noch zu früh. Die Beiträge zu Elementarschadenversicherungen sind abhängig von der Wahrscheinlichkeit für Überschwemmung, Rückstau und Starkregen. Grundlage dafür ist ein brancheneigenes vierstufiges Geoinformationssystem zur Einschätzung von Naturgefahren. In den niedrigen Klassen, wo das Risiko für Hausbesitzer sehr gering ist, sind die Policen günstig. In der höchsten dagegen werden hohe Beiträge fällig, manche Versicherer bieten dann gar keine Police an. Die starken Gewitter der vergangenen Jahre und die folgenden spontanen Sturzfluten haben aber auch Straßen und Orte getroffen, die eigentlich als weitgehend überschwemmungssicher galten. Auffällig sind die großen regionalen Unterschiede: In Baden-Württemberg – wo die Elementarversicherung ehedem für Hausbesitzer verpflichtend war – sind 94 Prozent der Gebäude elementarversichert, in Bremen dagegen nur gut ein Fünftel. Und auffällig ist noch ein zweiter Punkt: Elementarpolicen gibt es als Zusatzbestandteile der Gebäudeversicherung und separat auch für den Hausrat. In dieser letzteren Kategorie ist die Versicherungsdichte noch wesentlich niedriger, laut GDV waren es 2019 lediglich 19 Prozent. Zerstört eine Überschwemmung Waschmaschine, Trockner, die Heimsauna, das teure Heimkino oder andere gern im Keller untergebrachte Gerätschaften, kann auch das sehr teuer werden.  SPIEGEL+-Zugang wird gerade auf einem anderen Gerät genutzt   SPIEGEL+ kann nur auf einem Gerät zur selben Zeit genutzt werden.   Klicken Sie auf den Button, spielen wir den Hinweis auf dem anderen Gerät aus und Sie können SPIEGEL+ weiter nutzen.   Zerstörtes Haus im Ahrtal: Gefährdete Lagen lassen sich dagegen kaum versichern Melden Sie sich an und diskutieren Sie mit",no subject stated,True
Olympia 2021: Kristóf Milák über 200 Meter Schmetterling – Wenn Gold in die Hose geht,"Kristóf Milák nach seinem Olympia-Sieg über 200 Meter Schmetterling Matthias Schrader / AP  Besondere Reportagen, Analysen und Hintergründe zu Themen, die unsere Gesellschaft bewegen – von Reportern aus aller Welt. Jetzt testen.  Alle Artikel auf SPIEGEL.de frei zugänglich. DER SPIEGEL als E-Paper und in der App. Einen Monat für 1,- € testen.  Sie haben bereits ein Digital-Abonnement?  Hier anmelden    Freier Zugang zu allen Artikeln, Videos, Audioinhalten und Podcasts  Alle Artikel auf SPIEGEL.de frei zugänglich DER SPIEGEL als E-Paper und in der App  Bis zum 30.06.2022 inklusive Audio: DER SPIEGEL zum Anhören  Nur € 19,99 pro Monat, jederzeit kündbar  Sie haben bereits ein Digital-Abonnement?  Hier anmelden    SPIEGEL+ wird über Ihren iTunes-Account abgewickelt und mit Kaufbestätigung bezahlt. 24 Stunden vor Ablauf verlängert sich das Abo automatisch um einen Monat zum Preis von zurzeit 19,99€. In den Einstellungen Ihres iTunes-Accounts können Sie das Abo jederzeit kündigen. Um SPIEGEL+ außerhalb dieser App zu nutzen, müssen Sie das Abo direkt nach dem Kauf mit einem SPIEGEL-ID-Konto verknüpfen. Mit dem Kauf akzeptieren Sie unsere Allgemeinen Geschäftsbedingungen und Datenschutzerklärung.   SPIEGEL+-Zugang wird gerade auf einem anderen Gerät genutzt   SPIEGEL+ kann nur auf einem Gerät zur selben Zeit genutzt werden.   Klicken Sie auf den Button, spielen wir den Hinweis auf dem anderen Gerät aus und Sie können SPIEGEL+ weiter nutzen.   Kristóf Milák nach seinem Olympia-Sieg über 200 Meter Schmetterling Matthias Schrader / AP Melden Sie sich an und diskutieren Sie mit",no subject stated,True
»Better Call Saul«: US-Schauspieler Bob Odenkirk bei Dreharbeiten kollabiert,"Bob Odenkirk als Anwalt Goodman in »Better Call Saul« Die Rolle des Rechtsanwalts Saul Goodman in den Serien »Breaking Bad« und »Better Call Saul« machte Bob Odenkirk international bekannt. Jetzt ist der Darsteller Medienberichten zufolge am Drehort in Albuquerque im US-Bundesstaat New Mexico kollabiert. Das Filmteam rief einen Krankenwagen, seit Dienstagabend werde der 58-jährige Schauspieler in einer Klinik behandelt, berichtete unter anderem das Internetportal TMZ. Wie lange der Schauspieler im Krankenhaus bleiben muss und welcher Art seine gesundheitlichen Probleme sind, ist unklar. Kollegen und Fans zeigten sich besorgt. Odenkirks Kollege Michael McKean, der in der Produktion Goodmans Bruder spielt, schickte über Twitter Genesungswünsche. An dieser Stelle finden Sie einen externen Inhalt von Twitter, der den Artikel ergänzt. Sie können ihn sich mit einem Klick anzeigen lassen und wieder ausblenden.  Ich bin damit einverstanden, dass mir externe Inhalte angezeigt werden. Damit können personenbezogene Daten an Drittplattformen übermittelt werden.  Mehr dazu in unserer Datenschutzerklärung.   Die sechste und letzte Staffel von »Better Call Saul« sollte ursprünglich in diesem Jahr starten. Wegen der Corona-Pandemie verzögerte sich die Produktion und wird nun voraussichtlich 2022 zu sehen sein. Odenkirk war für seine Rolle des Saul Goodman in der Vergangenheit für vier Emmys nominiert. Unter anderem für seine Arbeit als Sketch-Autor bei »The Ben Stiller Show« bekam er die Auszeichnung.  SPIEGEL+-Zugang wird gerade auf einem anderen Gerät genutzt   SPIEGEL+ kann nur auf einem Gerät zur selben Zeit genutzt werden.   Klicken Sie auf den Button, spielen wir den Hinweis auf dem anderen Gerät aus und Sie können SPIEGEL+ weiter nutzen.   Melden Sie sich an und diskutieren Sie mit",no subject stated,True
Biden nominiert Mark Gitenstein als Botschafter bei der EU,"Mark Gittenstein (Archivfoto): Während seiner Zeit in Rumänen setzte sich Gitenstein gegen Korruption und für stärkere Privatisierung ein US-Präsident Joe Biden hat am Dienstag seinen langjährigen Mitarbeiter Mark Gitenstein als Botschafter bei der Europäischen Union nominiert. Dieser diente bereits unter dem früheren Präsidenten Barack Obama als Botschafter in Rumänien. Gitenstein ist gelernter Jurist. Seine Nominierung muss noch vom Senat abgesegnet werden, den Bidens Demokraten kontrollieren. Mit Gitenstein sendet Biden ein deutliches Signal zur Verbesserung der Beziehungen zur EU, die stark unter seinem Vorgänger Donald Trump gelitten haben. Während seiner Zeit in Rumänen setzte sich Gitenstein gegen Korruption und für stärkere Privatisierung ein. Zuvor war er unter anderem 17 Jahre lang Berater der Demokraten im Justizausschuss des Senats, wo er eng mit Biden zusammenarbeitete. Ex-Präsident Trump hatte Gordon Sondland, einen wohlhabenden Hotelbesitzer, zu seinem EU-Botschafter gemacht. Er entließ ihn, nachdem Sondland vor dem Kongress über Trumps Druck auf die Ukraine ausgesagt hatte, was zum ersten Amtsenthebungsverfahren des Präsidenten führte.  SPIEGEL+-Zugang wird gerade auf einem anderen Gerät genutzt   SPIEGEL+ kann nur auf einem Gerät zur selben Zeit genutzt werden.   Klicken Sie auf den Button, spielen wir den Hinweis auf dem anderen Gerät aus und Sie können SPIEGEL+ weiter nutzen.   Mark Gittenstein (Archivfoto): Während seiner Zeit in Rumänen setzte sich Gitenstein gegen Korruption und für stärkere Privatisierung ein Melden Sie sich an und diskutieren Sie mit",no subject stated,True
Gucci-Konzern macht vor allem in Asien und den USA Kasse,"Gucci-Filiale in Beverly Hills: Erwartungen der Analysten übertroffen Das französische Luxusgüterunternehmen Kering erholt sich im Rekordtempo von den Corona-Belastungen. Dank der wiedererwachten Einkauflust von Kunden insbesondere in Asien und in Nordamerika erwirtschaftete der Luxusgüterhersteller im ersten Halbjahr mehr Umsatz als noch vor der Pandemie, wie der Konzern am Dienstag in Paris mitteilte. Starke Verkaufszahlen bei seiner italienischen Modemarke Gucci, aber auch bei Yves Saint Laurent, Bottega und anderen Marken schoben die Umsätze und Ergebnisse des EuroStoxx-50-Unternehmens an. Die Erlöse kletterten den Angaben zufolge in den ersten sechs Monaten im Vergleich zum Vorjahr um fast die Hälfte auf gut acht Milliarden Euro, womit Kering die durchschnittlichen Erwartungen von Analysten übertrumpfte. Auf vergleichbarer Basis und bereinigt um Wechselkurseffekte betrug der Anstieg rund 54 Prozent – und mehr als acht Prozent im Vergleich zu 2019. Nach Zuwächsen zum Jahresauftakt habe sich das Wachstumstempo im zweiten Quartal weiter beschleunigt, hieß es. Ergebnisseitig fielen die Zuwächse noch deutlicher aus: Das Ergebnis vor Zinsen, Steuern und Abschreibungen (Ebitda) kletterte um rund 76 Prozent auf 2,95 Milliarden Euro. Unter dem Strich erzielte Kering mit knapp 1,5 Milliarden Euro Gewinn mehr als das Zweieinhalbfache des Vorjahreswertes.  SPIEGEL+-Zugang wird gerade auf einem anderen Gerät genutzt   SPIEGEL+ kann nur auf einem Gerät zur selben Zeit genutzt werden.   Klicken Sie auf den Button, spielen wir den Hinweis auf dem anderen Gerät aus und Sie können SPIEGEL+ weiter nutzen.   Gucci-Filiale in Beverly Hills: Erwartungen der Analysten übertroffen Melden Sie sich an und diskutieren Sie mit",no subject stated,True
Julian Assange verliert ecuadorianische Staatsbürgerschaft,"Julian Assange (Archivfoto): Sein Anwalt kündigte Rechtsmittel gegen den Entzug der Staatsbürgerschaft an Ein Gericht hat dem WikiLeaks-Gründer Julian Assange die ecuadorianische Staatsbürgerschaft entzogen. Bei der Verleihung der Staatsbürgerschaft an den gebürtigen Australier 2017 seien verwaltungsrechtliche Fehler gemacht worden, berichtete die Zeitung »El Comercio« unter Berufung auf ein Verwaltungsgericht in der Hauptstadt Quito. Assanges Anwalt Carlos Poveda kündigte an, Rechtsmittel gegen die erstinstanzliche Entscheidung einzulegen. Assange wartet derzeit im Londoner Hochsicherheitsgefängnis Belmarsh auf eine Entscheidung über den Auslieferungsantrag der US-Regierung. Die USA werfen ihm vor, gemeinsam mit der Whistleblowerin Chelsea Manning geheimes Material von US-Militäreinsätzen im Irak und in Afghanistan gestohlen und auf der Internetplattform WikiLeaks veröffentlicht zu haben. Damit sei das Leben von Informanten in vielen Ländern in Gefahr gebracht worden. Im Falle einer Verurteilung in den USA droht ihm eine langjährige Haftstrafe. Assange war 2012 vor einer Auslieferung in Ecuadors Botschaft in London geflüchtet. Dort erhielt er Asyl und 2017 auch die ecuadorianische Staatsbürgerschaft. Die Regierung des südamerikanischen Landes plante damals, Assange einen Diplomatenstatus zu verleihen und ihn so sicher aus der Botschaft bringen zu können. Später kam es allerdings zu Spannungen zwischen Quito und Assange. Die ecuadorianische Regierung kassierte 2019 den Asylstatus wieder, und Assange wurde wegen des Verstoßes gegen Kautionsauflagen von der britischen Polizei festgesetzt.  SPIEGEL+-Zugang wird gerade auf einem anderen Gerät genutzt   SPIEGEL+ kann nur auf einem Gerät zur selben Zeit genutzt werden.   Klicken Sie auf den Button, spielen wir den Hinweis auf dem anderen Gerät aus und Sie können SPIEGEL+ weiter nutzen.   Julian Assange (Archivfoto): Sein Anwalt kündigte Rechtsmittel gegen den Entzug der Staatsbürgerschaft an Melden Sie sich an und diskutieren Sie mit",no subject stated,True
Leverkusen: Explosion im Chempark – Vermisstensuche geht weiter,"Schwarzer Rauch über dem Chempark Leverkusen Mindestens zwei Menschen starben, als sich am Dienstag im Tanklager des Entsorgungszentrums in Leverkusen eine gewaltige Explosion ereignete. Mehr als 30 weitere Personen wurden laut Betreiberangaben bei dem Vorfall im Chempark verletzt. (Lesen Sie hier, was bisher bekannt ist) Noch immer würden zudem fünf Menschen vermisst, sagte ein Sprecher am frühen Mittwochmorgen. Laut Angaben des Chempark-Leiters Lars Friedrich vom Dienstagabend starben zwei Menschen, 31 seien zum Teil schwer verletzt, einer von ihnen schwebe in Lebensgefahr. Die Hoffnung, die Vermissten noch lebend zu finden, werde immer geringer, sagte Friedrich am Abend. Die gewaltige Explosion, die nach Zeugenberichten im Umkreis von vielen Kilometern zu hören war, ereignete sich demnach im Tanklager des Entsorgungszentrums Bürrig. Die Ursache ist noch unklar. Das Unternehmen rechnete damit, dass es noch einige Zeit dauern könnte, bis es erste Erkenntnisse gibt. Rauchsäule über dem Chempark Leverkusen Nach dem Brand bestand laut Angaben des nordrhein-westfälischen Innenministers Herbert Reul (CDU) bei einem zweiten Tank Explosionsgefahr. Der Tank habe 100.000 Liter hochentzündliche, giftige Abfallstoffe enthalten, sagte Reul am Dienstag. Die Feuerwehr habe die Gefahr aber bannen können. Rund 300 Feuerwehrleute waren im Einsatz. Reul äußerte sich nicht zu möglichen Ursachen. Nordrhein-Westfalens Ministerpräsident Armin Laschet (CDU) dankte am Dienstag den Rettungskräften, »die durch ihren mutigen Einsatz Schlimmeres verhindert« hätten und weiter unter Hochdruck nach Vermissten suchten, wie die Staatskanzlei mitteilte. Der Chempark ist laut Unternehmensangaben einer der größten Chemieparks Europas. An den drei Standorten Leverkusen, Dormagen und Krefeld-Uerdingen sind über 70 Firmen angesiedelt. Die Explosion war bis nach Bergisch Gladbach zu hören. Eine gewaltige Rauchwolke stieg auf, die kilometerweit zu sehen war. Die Polizei sperrte vorübergehend mehrere Autobahnen rund um die Anlage. Laut Chempark-Leiter Friedrich haben unter anderem chlorierte Lösungsmittel gebrannt. Zunächst hatte es geheißen, eine genaue Analyse der Wolke liege noch nicht vor. Man könne nicht ausschließen, dass darin auch Giftstoffe enthalten seien. Die Explosion ereignete sich in der Sonderabfallverbrennungsanlage des Entsorgungszentrums. Dabei waren Friedrich zufolge drei Tanks betroffen, in denen sich Lösungsmittel - Produktionsabfälle der Chemparkkunden - mit einem Füllgrad von 200 bis 300 Kubikmetern je Tank befanden. Der Brand konnte erst nach Stunden unter Kontrolle gebracht werden. »Die Löscharbeiten mussten warten, bis eine Stromleitung vom Netz getrennt war«, erklärte die Stadt. Anwohner wurden aufgefordert, geschlossene Räume aufzusuchen sowie Fenster und Türen geschlossen zu halten. Am Nachmittag hob Leverkusen die Warnung für die meisten Stadtteile wieder auf - nur im besonders betroffenen Stadtteil Bürrig galt sie weiterhin.  »Es gibt Meldungen zu Rußablagerungen«, sagte Landesgesundheitsministerin Ursula Heinen-Esser (CDU) dem »Kölner Stadt-Anzeiger«. Eine Einschätzung, ob in den Niederschlägen nach dem Brand »relevante Stoffe« zu finden seien, ist laut Landesumweltamte (LANUV) noch nicht möglich. Die Stadt Leverkusen sperrte vorübergehend Spielplätze in den Stadtteilen Bürrig und Opladen. Experten warnten vor dem Verzehr von Obst und Gemüse aus dem eigenen Garten. Chempark-Leiter Friedrich rief die Bevölkerung dazu auf, eventuelle Niederschläge nicht zu berühren, sondern die Feuerwehr zu informieren. Marius Stelzmann vom Verein Coordination gegen Bayer-Gefahren (CBG) sprach von einem Beinahe-GAU: »Bayer/Currenta spielen mit dem Feuer.« Der Vorfall zeige »einmal mehr, welche Gefahr von Produktion und Entsorgung chemischer Stoffe ausgeht, wenn diese der Profitmaximierung dienen«. Bayer und Currenta müssen die Öffentlichkeit informieren, was dort überhaupt explodiert und verbrannt sei und wie solche Ereignisse in Zukunft verhindert werden sollen.  SPIEGEL+-Zugang wird gerade auf einem anderen Gerät genutzt   SPIEGEL+ kann nur auf einem Gerät zur selben Zeit genutzt werden.   Klicken Sie auf den Button, spielen wir den Hinweis auf dem anderen Gerät aus und Sie können SPIEGEL+ weiter nutzen.   Schwarzer Rauch über dem Chempark Leverkusen Rauchsäule über dem Chempark Leverkusen Melden Sie sich an und diskutieren Sie mit",no subject stated,True
